epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1933.82,0.71788,0.91651,0.74564,0.88946,0.78343,0.78217,0.8069,0.62705,0.78343,0.78217,0.76916,0.53874,0.82386,1.3342,1.05198,0.92236,0.000713,0.000713,0.000713
67,1961.49,0.74562,0.98949,0.76571,0.89527,0.85177,0.77671,0.8287,0.63841,0.85177,0.77671,0.78917,0.57092,0.83115,1.38048,0.99887,0.92646,0.0006932,0.0006932,0.0006932
68,1990.61,0.70812,0.91983,0.71632,0.89221,0.86829,0.75676,0.83642,0.66896,0.86829,0.75676,0.80049,0.57811,0.81704,1.4236,0.99392,0.92185,0.0006734,0.0006734,0.0006734
69,2018.83,0.7067,0.9573,0.71655,0.87509,0.86829,0.75676,0.83642,0.66896,0.86829,0.75676,0.80049,0.57811,0.81704,1.4236,0.99392,0.92185,0.0006536,0.0006536,0.0006536
70,2046.06,0.70312,0.91197,0.70756,0.88007,0.89725,0.81081,0.84247,0.68047,0.89725,0.81081,0.80341,0.57839,0.81784,1.45035,0.99272,0.91906,0.0006338,0.0006338,0.0006338
71,2074.71,0.72688,0.88931,0.74157,0.87504,0.90342,0.81081,0.82667,0.66278,0.90342,0.81081,0.78051,0.54988,0.81679,1.4356,0.96368,0.92636,0.000614,0.000614,0.000614
72,2103.82,0.69783,0.95115,0.70167,0.89102,0.85822,0.83784,0.82687,0.65589,0.85822,0.83784,0.77538,0.53118,0.82957,1.38529,0.95916,0.93628,0.0005942,0.0005942,0.0005942
73,2130.86,0.67553,0.97167,0.69436,0.8808,0.85822,0.83784,0.82687,0.65589,0.85822,0.83784,0.77538,0.53118,0.82957,1.38529,0.95916,0.93628,0.0005744,0.0005744,0.0005744
74,2157.98,0.6786,0.87668,0.67408,0.87049,0.88382,0.78378,0.83785,0.65762,0.88382,0.78378,0.79612,0.53499,0.82127,1.31879,0.94949,0.92983,0.0005546,0.0005546,0.0005546
75,2187.13,0.6966,0.88072,0.71477,0.89062,0.86045,0.83337,0.83532,0.65181,0.86045,0.83337,0.79473,0.52613,0.81532,1.33004,0.91539,0.92605,0.0005348,0.0005348,0.0005348
76,2214.57,0.67527,0.8655,0.68736,0.87624,0.85488,0.83784,0.84375,0.66478,0.85488,0.83784,0.80257,0.53428,0.82367,1.33459,0.90482,0.9227,0.000515,0.000515,0.000515
77,2241.89,0.66825,0.83512,0.66402,0.87838,0.85488,0.83784,0.84375,0.66478,0.85488,0.83784,0.80257,0.53428,0.82367,1.33459,0.90482,0.9227,0.0004952,0.0004952,0.0004952
78,2269.97,0.68133,0.94773,0.70709,0.88187,0.87944,0.83784,0.84807,0.66324,0.87944,0.83784,0.79124,0.55387,0.84138,1.3317,0.8914,0.92169,0.0004754,0.0004754,0.0004754
79,2298.26,0.68698,0.88651,0.72281,0.88163,0.88105,0.83784,0.85667,0.66566,0.88105,0.83784,0.80244,0.57775,0.84407,1.35084,0.8827,0.92307,0.0004556,0.0004556,0.0004556
80,2328.33,0.69727,0.93313,0.68839,0.86952,0.87938,0.83784,0.8626,0.67163,0.87938,0.83784,0.81049,0.58631,0.82194,1.41104,0.88585,0.92261,0.0004358,0.0004358,0.0004358
81,2356.21,0.71291,0.90302,0.68718,0.86715,0.87938,0.83784,0.8626,0.67163,0.87938,0.83784,0.81049,0.58631,0.82194,1.41104,0.88585,0.92261,0.000416,0.000416,0.000416
82,2384.96,0.68672,0.887,0.68022,0.87859,0.88033,0.83784,0.86158,0.67215,0.88033,0.83784,0.81111,0.57717,0.80797,1.41346,0.88178,0.92177,0.0003962,0.0003962,0.0003962
83,2412.05,0.65818,0.84187,0.66474,0.87825,0.88514,0.83323,0.86291,0.66709,0.88514,0.83323,0.81307,0.57542,0.80799,1.36343,0.88948,0.91789,0.0003764,0.0003764,0.0003764
84,2439.58,0.68984,0.904,0.66981,0.86904,0.85641,0.83784,0.86777,0.67571,0.85641,0.83784,0.81522,0.56538,0.77499,1.31988,0.8646,0.90293,0.0003566,0.0003566,0.0003566
85,2467.12,0.69731,0.93422,0.69253,0.87778,0.85641,0.83784,0.86777,0.67571,0.85641,0.83784,0.81522,0.56538,0.77499,1.31988,0.8646,0.90293,0.0003368,0.0003368,0.0003368
